Appearance,Aroma,Description,Flavor,Flowering Time,Grow,Grow Medium,Lineage,Name,Origin,Qualities,Story,Strain Type
NaN,Pungent lemony-garlic skunk,"The strong roadkill skunk-meets-lemon funk of Albert Walker will overwhelm the smell of many other plants in the grow room.  Originally from the Pacific Northwest, but of unknown lineage, this Indica-dominant strain has a positive, relaxing, mood elevating effect that lasts longer than most.",Strong and thick-tasting lemony skunk,60 - 67 days,"Rare, clone only","Albert Walker is a finicky and demanding strain that is tough to grow, requiring heavy feedings to maintain healthy growth.  It yields well and is very rewarding if properly treated though.  Possibly due to the old age of the clone, it is very difficult to clone and grow, but makes great breeding stock. (growing information courtesy of )",Thought to be an old Afghani Skunk,Albert Walker,"Afghanistan, then to the Pacific Northwest","Coming on strong with a wave of heat to the head and chest, Albert Walker uplifts the mood and provides a good deal of mental energy at first.  It changes it character after a short time though, turning into more of a euphoric and relaxing Indica effect.  Good body relaxation, anti-anxiety, mood elevation, and appetite stimulation qualities.","Albert Walker was made popular at Grateful Dead concerts throughout the 1980's and 1990's, but was thought to have originated in the Pacific Northwest earlier than that.  The structure and scent suggests that it's an Afghani Skunk, but nobody knows for sure.",Indica-dominant hybrid
"Light green, almost yellow from trichome coverage",Floral citrus pre-grind with some definite soil/kush smells after grind along with the same citrusy smell that was present originally.,"The Alien Dog is a terrific indica based strain, stemming from one of the most popular strains making its way across the country (Alien Technology). We recommend using small samples of this for medicating, as the more you ingest the larger the head/mind effects become and it seems to detract from the brilliance of the body medication. On the other hand, seasoned patients may enjoy the diversity the strain offers and choose to go ""all in"" for both mind and body exhuberation.","A soft sweetness (berry/pine) with delayed, albeit big, expansion.",63-70 Days,Seed,NaN,Alien Technology x Chemdog D,Alien Dog,California,"You feel it heavily in your head and face immediately (upper jaw and teeth were kind of tingling and numb), with a buzzy warm body high feeling, but everywhere. Definitely stronger than most right off the bat, you can feel that trichome coverage in a real way. You almost have trouble focusing your eyes, it's very strong and a little disorienting. It definitely has an indica profile, the pulsing warm high all over the body and head is really something, repeated yawning and stretching.",Bred by Cali Connection,Indica Dominant Hybrid
NaN,"Spicy, with notes of piney vegetation, and soil — it has hints of sweetness from the LVPK as well.","The Alien Kush adds some indica punch, dark coloration, and further trichome coverage to the already legendarily-potent and tasty Tahoe OG Kush clone.",Piney sweetness with a hint of Kushy spice that hangs in the back of your throat rather than hitting the tongue at the forefront.,65-75 days,Cali Connection Seeds,NaN,"Tahoe OG Kush x Alien Kush (Las Vegas Purple Kush x Alien Technology), the Alien Kush male is Alien Technology-dominant",Alien OG,"California, USA","Starting off almost rushy at times, the sativa nature definitely comes out early in this cross.  Very strong ocular attention and facial/head pressure made it feel a little overwhelming or bleary at times despite its clear and even-handed mental state.  The relaxed body and thoughtful, philosophical mind-state this strain provides makes this one good for quiet conversations with friends, reading, or being creative.  Overall, it feels like a pretty even hybrid, bringing out more of the indica as it progressed.  Recommended for ocular attention, general relaxation, joint/hand pain, migraine relief, and possible benefits with ADHD/ADD and other attention disorders.","Alien Technology is a very special landrace Afghani strain that was brought back fairly recently by a U.S. soldier from an unnamed small village in Afghanistan.  The other parts of the equation are Kyle Kushman's Las Vegas Purple Kush and the original Tahoe OG cut, which many believe to be the original OG.  This cross was made by Swerve of Cali Connection.",Indica-dominant hybrid
NaN,NaN,"A stellar example of a true indica with just a touch of motivational effect, Alien Pie combines the flavor of Cherry Pie, a decendant of the Grand Daddy Purple family, and Alien Kush, a refined genetic project from Alien Technology, an Afghan landrace.",Classic purple lavander and floral is overtly detectable with undertones of pine and tartness.,NaN,Clone Only,NaN,Cherry Pie x Alien Kush f2,Alien Pie,NaN,NaN,"A stellar example of a true indica with just a touch of motivational effect, Alien Pie combines the flavor of Cherry Pie, a decendant of the Grand Daddy Purple family, and Alien Kush, a refined genetic project from Alien Technology, an Afghan landrace.",Indica
Light green calyxes form bulky Christmas tree rounded nugs. It has a structure true to its kind. A real OG.,"Gasoline, pine and paint thinner",Jet Fuel is a legendary OG variatal from Southern California. The name comes from the invasive chemical gasoline aroma it gives off. Altered OG is Green Dream’s cut of the legend.,"The light density of the smoke allows for a true connoisseur flavor. Perfect when rolled tightly, a slow draw can open up a vast terpene spectrum including menthol, pine forest and lemons.",NaN,NaN,NaN,"""Jet Fuel"" OG Clone",Altered OG,Southern California,NaN,NaN,Hybrid
NaN,NaN,NaN,NaN,NaN,NaN,NaN,(Pure Kush x Uzbekistani Hashplant) x Triangle Kush,Apex Kush #3,NaN,NaN,NaN,Indica Dominant Hybrid
NaN,NaN,NaN,NaN,NaN,Clone Only,NaN,Unknown,Apple Sauce Kush,JD of Epik,NaN,NaN,Indica Dominant Hybrid
NaN,"Yes, it does really smell like bananas, though the strong kush scent will overpower once crushed or ground.","This smoke can induce mild coughing fits as the expansion stays with you for a minute or two after smoking. It carries a solid potency for a fruity named strain and can be enjoyed sitting or on the go. It has a talkable nature, but also gives a nice introspective experience to the patient. The taste and smell are absolutely captivating, and makes for a really tasty joint to share with a group.",That banana taste lingers in your mouth. Very sweet and pleasant.,NaN,Clone Only,NaN,Ghost's OG Kush x Skunk Haze,Banana Kush,California,"This was a classic Indica body buzz, focusing its effects in the chest region (some feeling heavy and others feeling expanded or full). The sample provided quick results with some dizzy or light headed effects for the initial 5 -10 minutes.",Bred by DNA Genetics affiliate Crockett from a Ghost's OG Kush and 1970s Skunk Haze male,Indica Dominant Hybrid
"It was almost hard to see the strain underneath all the light strawberry-colored pistils that seemed to cover 90% of the bud's surface. Underneath though, there were a good amount of trichomes, and it was slightly more impressive than to the naked eye.","Mostly sour and citrusy (as is expected with a NYCD cross), this strain was pleasing to the nose and also carried notes of soil along with a slight vegetal sweetness that came out especially after grinding.","A nicely balanced package of Indica effects without many of the downsides often associated with them (tiredness, inability to function, etc.). The body relief it provided was great for moderate pain the mental effects were never too strong or uncomfortable. A good middle-of-the-road Indica compromise that won't knock you out but still provided solid relief from daily aches and pains while putting a smile on your face.",Lingering sweet & sour pallete,9-11 Weeks,NaN,NaN,California Indica x New York City Diesel,Barney's Red Diesel,NaN,"This strain caused immediate warmth and a radiating feeling that coursed throughout the body and face as well as an alternative heaviness and lightness on the chest. Seemingly not able to make up its mind, we vacillated between states of energy and sloth, but felt slightly spaced-out the entire time. The one constant was the relaxed and numbing body high, which kept us pain-free and in a good mood. It was above-average in potency, but never got overwhelming, making this a good choice for almost any level of MMJ patient effects-wise. Definitely an Indica-dominant experience, we were left a bit on the sleepy side after it was over, but it finished clean overall.",Bred by Barneys Farm to increase the yield of Soma's New York City Diesel,Indica-Dominant Hybrid
"The dry bud has a slight purple tint to it, looking more like a prevelant grape ape cut mixed with some OG light green from the Banner genetics.  The bud structure is more akin to the OG family tree than the stalkier Bubba and GDP relatives.","Wet or dry, Barrington closely resembles the GDP in aroma.  The cross yields a more pungent scent, but did not change the overall character of the GDP in doing so.","The plant grows a bit squatter than a pure OG Kush however the flower site structure resembles its Bruce Banner heritage.  The Barrington has thick leaves dark in hue, holding a tendency to turn purple across the whole plant after week 4.","Sweet grape over light pinene, followed with a nutty exhale.",NaN,Clone-Only,NaN,Grand Daddy Purps (GDP) x Bubba Banner (Bruce Banner #3 x Katsu Bubba),Barrington,"Green Dream Health Services - Boulder, Colorado","True to its reason for being created, Barrington provides a very mellow indica experience with enough hybrid nature to be an all day medicine or recreational smoke.  The Bruce Banner heritage ensures it will be potent for everyone, the cross doesn't lend itself to be an axienty or paranoia inducing strain.","Bred by Green Dream Health Services, Barrington is the result of a desire for a louder voice on the wonderful Bubba Banner.  The smooth lavendar/grape aroma and terpene profile of the GDP was the desired trait sought to work alongside the near perfect 50/50 hyrbid high of the Bubba Banner.",Indica-Dominant Hybrid
"The coloration was magnificent, greens, oranges, purples, and more. The trichome count was very high and the density was perfect.","The Bruce Banner takes over this smell, which is fine with us as it brings forth so many great scents. You will find soft fruit and soil, as well as a common diesel scent with pleasant earth and pine tones.",This strain takes an A+ strain and adds a terrific new kick. The Fort Collins Cough (Northern Lights #5 x Haze #17) was one of this editor's personal favorites while attending CSU in the mid-late 90's because of its potency mixed with clarity. It was always a highly functional sativa hybrid that was only missing an exquisite flavor and scent. The BB#3 brings that to the table with perfection. The only suggestion KindReviews has for this strain is a new name… beauties like this deserve their own calling card!,This is perfect in our opinion - a split of taste between the fruit/diesel of the strain itself and the organic matter it derived life from.,NaN,Clone Only,NaN,Bruce Banner #3 x Fort Collins Cough,Betty Banner,Colorado,"Initial soaring effect, very potent characteristics for mind, head, body core and extremeties. There is no missing the onslaught of medicine from every angle and most patients will take 5 minutes to gather their bearings. You will then notice the sativa activity as you get an energy rush and mental euphoria. The indica traits keep the shoulders and back relaxed even as the sativa continues to deliver. This is strong medicine.",Bred by Delta 9 Caregivers,Sativa Dominant Hybrid
NaN,Its acrid aroma carries strong skunky elements and an enticing blend of fuel and Haze spice battling for attention in the background. Its acrid aroma carries strong skunky elements and an enticing blend of fuel and Haze spice battling for attention in the background.,"Biesel is kicking around at several dispensaries throughout Colorado, and it's definitely worth a look for patients who like a more stoney and sedative Sativa with a complex Diesel bouquet.Biesel is kicking around at several dispensaries throughout Colorado, and it's definitely worth a look for patients who like a more stoney and sedative Sativa with a complex Diesel bouquet.",NaN,NaN,NaN,NaN,Shark Haze X Sour Diesel,Biesel #1,Colorado,"It has quite potent head effects to start, doing the normal Diesel thing and filling the user's head with pressure and a buzzing sensation, and causing the mind to wander off at the slightest distraction.  This excited and cerebral initial effect quickly drops into a much more ""blank slate"" feeling, where the mind is really just processing information and the user is not doing much interacting — it's suitable for movies and other passive entertainment, but anything active would probably be a little too much.  The body effects are a strong muscle relaxation and the tendency to remain seated due to the general comfort level this med provides.  Strong appetite stimulation and ocular effects signal ""Sativa"", but the overall tenor of the experience is more along the Indica lines past the initial 30-45 minutes.It has quite potent head effects to start, doing the normal Diesel thing and filling the user's head with pressure and a buzzing sensation, and causing the mind to wander off at the slightest distraction.  This excited and cerebral initial effect quickly drops into a much more ""blank slate"" feeling, where the mind is really just processing information and the user is not doing much interacting — it's suitable for movies and other passive entertainment, but anything active would probably be a little too much.  The body effects are a strong muscle relaxation and the tendency to remain seated due to the general comfort level this med provides.  Strong appetite stimulation and ocular effects signal ""Sativa"", but the overall tenor of the experience is more along the Indica lines past the initial 30-45 minutes.","Though this strain is a Sativa, it hits like a ton of bricks and definitely takes after its mother, the head-knocking Original Diesel, an East Coast favorite.  There are a few different phenotypes of this strain available, but the most popular is the #1, which is the most Diesel-dominant and has reportedly tested at 25%+ THC on several occasions.",Sativa Dominant Hybrid
"Very fuzzy, light green with amazing trichome count.","Mild pungence giving a ""designer soil"" scent.","Big Bud is known to be a weaker strain that many growers use to up the yields of more interesting strains, yet this Big Wreck is very potent. Indicas are so good for pain and relaxation, and when you find one that still allows for mild conversation it is a real plus. New patients should go slow when medicating, don't smoke a whole joint or you will find yourself with unprovoked guilt and paranoia.","Fresh produce, a mild purple sweetness that stays in the mouth for a while.",NaN,Clone,NaN,Trainwreck x California Big Bud,Big Wreck,California,"Fast acting, but also a 10 minute steady rise. Focus in forehead upon first ingesting, then a cool and calm body. This is a powerful indica that will wash away most everything going on, best to sit back and relax in the sun or in front of a TV. Not overly introverted which some powerful indicas tend to be.",NaN,Indica-dominant hybrid
"Holy foxtails, Batman! These nugs were all weird-shaped and each had at least one columnar foxtail reaching out from the main bud. Also unusual was the purpling, which seemed to affect half of a foxtail but the other part was dark green… unique indeed.","Definitely Diesel-dominant, it's a skunky fuely stank that also has some slight citrus notes, as are often found in both of the parent strains. After a grind, more of the light sweetness and citrus came out, pushing the fuel to the background.","A very eye-catching sample even though it was dark-colored to the eye, this in-house cross from Denver Relief performed well in all areas. The review staff all thought that this med would be enjoyed by almost anyone, as it provided a nice mixed package of uppy Sativa effects as well as quality pain and tension relief in the body. This thoughtful hybrid seems to offer the best of both worlds.","A slightly sweet and mentholated fuel taste was the dominant one going in, but it left a bit of a pine or hickory-like aftertaste.",NaN,Clone Only,NaN,Sour Diesel x Sensi Star,Bio-Diesel,Colorado,"Tears welling up in the eyes (partly due to coughing) and a near-immediate heart-racing feeling started this one off strong, feeling like a pure Sativa at first. Lots of ocular pressure fluctuations and a definite spacey mental feeling carried it into its peak stage about 25 minutes in, where a detached and slack-jawed mental state collided with mood elevation and physical energy (but no desire to actually get up and do something with it). Two reviewers moved onto a very ""crushed"" state where it was a struggle to stay awake and functional in the world, while another (smaller dosage) didn't report that feeling. So that leads us to believe that the higher dosage may put this into the crushing category… try it out and see which amount works for your body type and needs.",Bred by Denver Relief,Hybrid
NaN,"Like Girl Scout Cookies, a doughy, fresh baked smell is detectable off of well cured flowers. Many people pick up the sweet scent of grocery store icing.",Girl Scout Cookies (Forum Cut) x Romulan,NaN,NaN,Clone Only,NaN,Romulan x Girl Scout Cookies,Birthday Cake,NaN,"While this strain should be a hearty indica leaning varietal, more than one person has said it has the ability to be a bit pushy mentally dependng on your mood.",NaN,Indica
NaN,NaN,NaN,NaN,NaN,NaN,NaN,White Widow x Afghani,Black and White,NaN,NaN,NaN,Hybrid
NaN,NaN,"A balanced hybrid with a purple color, Black Cherry Soda gets its name from its sweet, fruity aroma.",NaN,NaN,NaN,NaN,Unknown,Black Cherry Soda,NaN,NaN,NaN,Hybrid
NaN,Pine and eucalyptus,NaN,Earthy eucalyptus taste,NaN,Seed,NaN,Afghani x Canadian Ortega x Northern Lights x Hashplant,Black Domina,Netherlands,"Powerful. A good 5 minutes after medicating I felt an initial rise in energy and heart rate. After 10 minutes I felt that the 5 hits I took might have been too much. Thankfully that feeling didn't last throughout, and not long after I came to a more sustainable level at 80-85% of its peak intensity. This one stayed mostly in my head taking me to a cerebral state of visual awareness yet leaving me a bit dopey and scatter-brained. My cupboard doors and hinges were definitely tested this evening.",Bred by Sensi Seeds,Indica
"Arrowhead-shaped barley corn green sepals dappled throughout with eggplant purple, in closed, tightncalyxes, with ochre pisitls, and above average coverage with short, thick-stalked trichomes with average heads","This sample had a typical (in the best way) Purple aroma. It has a perfume-like smell that reminded us of fancy soaps, with just a hint of fruity sweetness. The aroma was very enjoyable, but required some coaxing to really come out, and was never all that pungent.",NaN,"The flavor was more sweet and fruity than the aroma was, with a definite grape element. It wasn't very pungent beyond the first hit or two, but the smoke was smooth and not harsh on the throat. There was moderate expansion though, and multiple reviewers reported some coughing at the end of the review portion as the smoke became very thick.",45-50 Days,Seed,NaN,Black Domina x Blue Bubblejuice,Black Mamba,Unknown,"This strain came on quickly, after 2 or 3 hits it sent a wave of pressure into the eyes and head, and a buzzing sensation in the feet and shoulders. A calming sensation came over our staff, putting the mind at ease, but making us a little slow-witted. It was more suited to stationary activities like watching a movie or (if you can keep your eyes open) reading a book, and we didn't feel the desire to leave the house at all. The effect got somewhat tiring as it progressed, with strong muscle relaxation and heavy eyelids making it easy to go curl up for a nap. It was a smooth decline in effect, but multiple reviewers ended up falling asleep before the effects were completely gone.",Bred by Blue Grass Seeds,Indica-dominant hybrid
"Long yellow hairs cover purple tinted, sizable nugs. Imagine a purple Golden Goat with a bit more dense buds due to the Stardawg's Chem Dawg lineage.",NaN,"Purple Pheno of Chupacabra, Golden Goat female x Stardawg male",NaN,NaN,NaN,NaN,Golden Goat x Stardawg,Black Sheep,"Green Dream Cannabis, Boulder Colorado",NaN,"An exclusive breeding project of Green Dream Cannabis in Boulder, the Golden Goat female can be found in the garden in production and on the shelves. The Stardawg male used was also used in the Bubba Fett and Show Dawg breeding projects.",Sativa Dominant Hybrid
"Though the lineage would suggest a more dense structure than the result shows here, we liked the foxtailed and unpredictable structure. Light green and looking like the DJ Short's Blueberry side of the family, it has brick red pistils and a high calyx-to-leaf ratio.","This sample reminded us both of a purple strain and Blueberry with its slightly musky but sweet berry aroma — we did indeed pick up a Blackberry element to the smell as well. It was more piney and musky pre-grind, but sweetened up quite a bit and got more pungent once handled.","For our reviewers who were experiencing a lot of stomach discomfort, it did wonders for relieving that, and everyone really enjoyed the numbing, relaxed body effects as well. It's definitely a berry-scented strain, but that didn't translate to the taste. Still, the pleasant smoking experience again made up for that shortcoming, making this a perfect selection for patients who need an Indica but don't like the thick, at times cholorophyl-laden (since they generally have more leaf matter) smoke they deliver… ""pleasant"" was the word that kept coming to mind with this one.","Lightly sweet and spicy in the mouth, this strain didn't have a ton of taste to it. The smoke was incredibly smooth and non-expansive though, making this a superb choice for those who don't want to cough.",NaN,Clone Only,NaN,DJ Short's Blueberry x Afghani,Blackberry Kush,California,"With only a little ear tickle and some face/head pressure to start, this one came on rather slowly and built into a uniquely relaxing body-centric experience within 45 minutes. With a lot of downward inertia serving to pull us into the couch, the warming and relaxing body effects came with very little mental effect other than a pleasant sense of relaxation (mental processes were clear). As time moved slowly forward, the numbing and tingly body effects kept up at a high level, especially in the hands and arms. One effect that we all noticed was strong relief of stomach issues and increase in appetite, which came on almost immediately. As it subsided, we were generally a little tired and this med would definitely pave the way for a restful night of sleep.",NaN,Indica Dominant Hybrid
"Compact, purple-tinged flowers with average resin coverage","The high point of this strain for sure, the aroma was a wonderfully pungent mix of sweet blueberry and sharp, musky, putrid elements… which, yes, can be described as smelling like cheese. It's a very strange and unique taste that you really only find in Cheese strains — alternately appealing and revolting, like many fine cheeses",NaN,"The taste took on more of the cheese elements than the smell did, while the berry sweetness fell to the background. One reviewer commented that there was even an iron/mineral-like taste, similar to what is found in very ""goaty"" cheeses, while others mainly picked up on peppery, sharp notes. The sweetness was still present, but the sharp tastes were stronger for sure.",8-9 Weeks,Seed,NaN,Big Buddha Cheese x DJ Short's Blueberry,Blue Cheese,Netherlands,"We had one outlier reviewer in our results that had a very uppy, motivational experience full of energy, exaggerated hand motions, and laughter… this contrasted with the experiences of the other reviewers yet was repeated on a secondary review, so we felt it worth mentioning. Sometimes meds simply affect people differently, so keep that in mind with this one, as we don't normally have one review sticking out so much from the others.The majority of staff felt that this was a wonderful relaxing med that served to take all the troubles and pains of the day and put the brakes on them. Starting off with a buzzing, warm body, strong forehead/temple pressure, and an immediate mood elevation, this strain felt really potent early on. It was a torquey med that stayed at medicinal levels for around 1.5 hours, only tailing off around hour 2. The dominant state was one of engaged but inactive focus, where the couch and a movie or video games were the perfect accompaniment. It was a great ""stealth med"" though, as the reviewer's physical appearance was unaffected despite the potency. A soft drop (or perhaps a rise, since it was a ""down"" med overall) back to sobriety made this a smooth experience overall.",Bred by Barney's Farm by pollinating a Big Buddha Cheese female with a pair of Blueberry males,Indica Dominant Hybrid
"It seems as if the AK-47 has bulked up the trichome count on the Blueberry, as this sample arrived caked with cloudy-headed trichomes, alongside a healthy blend of light greens, and mixed autumn-colored pistils.","The DJ Short's Blueberry really comes through here — notes of blueberries, strawberries, mint ice cream, and a slight sour element that comes out after the grind. If you like a sweet, fruity strain, this one's right up your alley. It's very nicely pungent as well, one of the stronger-smelling fruit varieties we've had in some time.","Though it wasn't one of the craziest-looking or strongest-tasting samples we've had as of late, this was a very solid med that would earn a place in our Indica rotation thanks to its enduring calming effects and even-handed power. It was never giving us anything unexpected and provided a steadily Indica-dominant experience that was effective enough while not being pushy. The grow quality overall was superb, with only a few small flaws to speak of, none of which seemed to affect the final quality all that much. A very solid in -house creation from The Health Depot here… and we have to say that the name is very appropriate considering the smell!","While not quite as pungent and overwhelmingly sweet as the smell, the taste still had a clear berry flavor with hints of earth, flowers, and vegetation. It wasn't a particularly enduring or pungent taste, but was enjoyed by the staff. The staff unanimously agreed that the smoke was very smooth and not too expansive, making this a good choice for patients who don't wish to cough or otherwise have respiratory issues. The final ash was a little iffy-looking, with a charcoal/gray mix, indicating that it may have needed a more thorough flush.",NaN,Clone Only,NaN,DJ Short's Blueberry x AK-47,Blue Cream,Colorado,"A rush of heat to the face and eyes started things off, with an accompanying relaxation and warmth coming over the body as well. The eyes and cheeks especially felt the effects of this medicine, though it didn't seem to physically affect them, as they were mostly clear and wide open. It showed some mood elevation properties in our review staff but was not euphoric by any means — it seemed to be a measured positivity that depended a bit on the incoming mood. The dominant feeling on this med was that of worry-free relaxation with a definite couchlock/lazy quality to it. This would be a good choice for a lazy day or an evening, though it wasn't so strong and lethargic to make it tough for daytime/busy use… we could focus when necessary.",Bred by The Health Depot in Colorado,Indica Dominant Hybrid
"Cream to burnt orange pistils, average coverage with small-headed trichomes over green calyxes tinged with purple edges","Artificial blue sweetener - cotton candy or melted sugar. (Research suggests two main phenos have been propogated, one very sweet and one very skunky; this is certainly the sweet variety).",NaN,"Semi-sweet, not a strong taste on this one (pipe smoked).",NaN,Seed,NaN,DJ Short's Blueberry x NYC Diesel,Blue Diesel,California,"Sativa front and indica end. We all decided to try this one together and it had us on our feet interacting right away. Conversation was flowing, laughter and creativity were present, and we had an overall uplifiting feeling. Task management was a little distorted.",Bred by Sanni at Breeder's Choice GeneticsBred by Sanni at Breeder's Choice Genetics,Indica Dominant Hybrid
NaN,"Sweet and floral berry, often with a hint of citrus-sandalwood sharpness from the Haze.","A big-yielding and rangy Blueberry cross, Blue Dream has a wonderful sativa-dominant effects package and retains much of the Blueberry taste from its mother.  Developed in the Northern California medical scene, it is becoming very popular in other medical states for its potency and high production.","Much like the smell, Blue Dream's flavor is a floral berry with some almost 'purple' notes at times (grape, flowers) — some expressions are heavy on the floral, almost hitting a lavender note.",55-65 days,Clone only,"Blue Dream normally grows bigger in hydro, but gets the best flavor in soil.  It grows slow at first, but once it gets kicked into flower it will stretch a bit and will branch out more than it did initially.  Training helps to maximize yield, but the dense, rounded nuggets this strain produces will weigh heavy and reward a skilled grower with a very above-average yield.",DJ Short's Blueberry F5 x Santa Cruz Haze,Blue Dream,"California, USA","Very uplifting and cerebral, it takes mostly after its Haze father — but in the background exists a strong sense of body relaxation and quality pain relief.  Energetic and aware to start, Blue Dream's potency may still catch some consumers by surprise — there are some rushy tendencies early on.  The strain evokes lots of creative energy despite occasional bouts of scatter-brained distraction, and at times the user will find themselves in a state of near-euphoria.  Solid body relief seems to increase as it goes along, building until it becomes more of an indica feeling to finish; warm and relaxed, with the patient completely at-ease.  We recommend this strain as a daytime or early evening choice, a great way to take the edge off of the day and relax the mind and body for a restful night of sleep as the effects decline.","Though the creator remains a mystery, this strain came out of the Santa Cruz area medical scene in Northern California and has since blown up in every medical and recreational marijuana marketplace around the country since, becoming one of the most popular strains available.  The strain was recently recreated by DJ Short himself as ""Azure Haze,"" using a special Silver Haze mother and a Blueberry F4, one generation closer to the mother plant than the F5 used in the original cross.Click hereto purchase your own Blue Dream seeds and start growing!",Sativa-dominant hybrid
"These flowers are simpy beautiful inside, covered with shiny trichomes and giving wonderful colors - lots of light greens and oranges.",Smells fantastic. Smells of blueberry with a slight bitterness.,"The Blue Hawaiian is a great looking strain with plenty of red hairs to add on to its marvel. A bit leafy on the outside, but the inside is packed full of sparkly trichomes. The buzz has a great balance of both head and body high, and a beautiful look and smell to match. Personally, the only down side is the medication is not as strong as I usually like. But, there is always a place and time for this type of smoke.",Smells fantastic. Smells of blueberry with a slight bitterness.,NaN,Seed,NaN,Blueberry x Hawaiian Sativa,Blue Hawaiian,British Columbia,"Uplifting medicine that gets me motivated yet eases my nerves. Very mellow and not too stoney, with a great body medication present as well. The Blueberry provides the relaxing and pain relieving indica and the Hawaiian adds just enough sativa to allow fluid operation during the medicating process.",Bred by Jordan of the Islands,Sativa Dominant Hybrid
"Arrowhead-shaped cucumber sepals with seaweed green accents, tight clustered calyxes, with cumin-colored pisitls, and above average coverage with short, thick-stalked trichomes with average heads","The fusion of Blue and Kush stood out in the aroma, with the pre-grind smell presenting more of a piney Kush quality, while the post-grind smell unleashed a wonderful sweet and sour berry. This one seemed to change almost at random — you smell it one moment and it's all sweet berry, but the next it has clear Kush spice notes — this is a complex and engaging strain with a great pungency level.","It's somewhat rare that a strain's qualities live up to its name in all areas, but this was certainly one of those. This was our first experience with Blue Kush and we all found it to be extremely enjoyable, exotic, and something we'd all happily go out and buy. The appearance, smell, and taste were like the two strains were combined in a lab — perfect fusion of sweet fruitiness and Kush spiciness and elements of each strain's structure. We found this strain to be very relaxing and medicinal without being overbearing or sending us into a withdrawn, sleepy state like many Indicas can do. Perfect daytime (or evening really) Indica relief, though complicated tasks might rub you the wrong way when you really just want to enjoy the strain's comforting body effects.","Though it was less pungent and more ethereal than the aroma, the taste was much the same and continued the perfect match of Blue and Kush. We again noticed that the flavor seemed to shift and mutate as we burned away the sample, at times being sweet berry, at times sour berry, and sometimes all Kushy spice. We all enjoyed how the flavor changed and the overall complexity, as well as the endurance.",55-62 Days,Seed,NaN,Blueberry x OG Kush,Blue Kush,Spain,"The effects built smoothly over the initial 5 minutes or so, resulting in a mentally alert yet strongly medicated state where the body felt very relaxed and warm. We kept calling this one ""expansive"", as it seemed to improve our mood as well as gave us a floaty, pulsing body that felt as it was growing from within. Social and positive, we were reaching out for company but kept gravitating towards more relaxing and less-technical activities that allowed time for contemplation and respite. This even-handed and smooth state continued at a high level for a full 2 hours, which is a longer medicinal-level staying power than most — the effect declined rather quickly at approximately 2.5 hours and lingered out to 3.",Bred by Dinafem Seeds,Indica-dominant hybrid
The Blue Widow looked very pale and sugary to the naked eye.,The sample was very pungent with a scrumptious blue candy over a sweet fresh pine scent.,"Said best by one of our reviewers, ""I'm not usually one for meds that close off the outside world, but this Blue Widow was damn nice. I felt right at home and truly enjoyed my own company, what a great strain.""","The BW was just a tad harsh but not bad, and packed a big expansion. It tasted much like the smell with a sweet berry tone that was very pleasing.",NaN,Seed,NaN,Blueberry x White Widow,Blue Widow,Netherlands,"The Blue Widow makes no bones about its indica nature and immediately delivers a calming wave. Pressure and stress melt away leaving the mind in a comfortable solitude and the body in a flacid state. Conversation and outside intrusion (TV/Radio/Computer) were found to be somewhat unpleasant but still performable if necessary. The couch and a book, or a towel and the sun, are where your mind and body will want to park and enjoy the long, relaxing ride.",Bred by Dinafem Seeds,Indica Dominant Hybrid
"Pretty stereotypical Blueberry — bright calyxes, dark green leaves, and orange pistils. Average in almost every sense, it was dense enough to be substantial, dry enough to burn well, and covered in a moderately dense layer of trichs.","Yep, this is Blueberry… this sample had that perfect sugar-coated muffin smell and was rather pungent both pre and post-grind. After the grind, a slightly musky and putrid sweetness came out, taking over for some of the sugary berry. Simply put, if you like Blueberry, you'll love this smell.",NaN,"A tad disappointing after the sugary bouquet, the taste was a little more subdued, with only one reviewer getting the beautiful candy berry/muffin type taste out of it. It seems to be in there, but coaxing it out wasn't easy for everyone… there was an earthy element to it as well that came out in later hits. Rather smooth and not particularly expansive, this one was an easy smoke.",NaN,NaN,NaN,Blueberry [Thai Sativa (Oregon Purple & Juicy Fruit) x Afghan Indica],Blueberry,NaN,"A very smooth and linear experience overall, this strain started off with some light Sativa effects such as eye/face/temple pressure fluctuations, but also immediate relief in the neck and shoulder blade area. With elevated moods, this med took us on a relaxing ride that left us feeling capable the entire time and never overly medicated or fuzzy. While it was more prone to sitting activities, the muscle relaxation and pain relief made active ones enjoyable as well. A strangely enduring face feeling persisted well into the 2nd hour, and the eyes seemed to get redder as the experience went along rather than vice-versa, as is normally the case.",NaN,Indica Dominant Hybrid
