name,text
Bogglegum,"As with many of the high-THC% samples we've had, it seems that the potency mostly translates into a longer duration rather than a ""woah!"" type of experience to start — this Bogglegum carried on for a very long time (especially at higher doses) and held its potency at an above-average level for quite a while. If the peak potency were a little higher, it would've been an easy A, but it just didn't grab all of our review staff with its effects, which were mostly just base relaxation and a slight uptick in cerebral activity. The grow was nearly flawless, the sample was rather beautiful, the smell and taste both were above-average and enjoyable… it was just one of those strains that might never get into the upper-echelon of modern medical cannabis, as this seems to be pretty much its genetic potential. Try it out if you like a fairly functional Indica with a sweet soil taste that holds its potency for a long time — it's recommended most for intermediate patients.Bred by Bushy Old Grower (aka BOG)This Bogglegum was totally loaded with fat-headed trichomes that seemed to hit just about perfect harvest timing, with plenty of visible ambers. The frosty appearance made the buds look almost white in the hand, broken up by occasional darker green leaves and red/orange/yellow pistils.A sugary, slightly creamy sweetness is the main bag/jar smell, and we can definitely see where the bubble gum comes into play. After grinding, a most robust and musky smell comes out, with notes of soil, earth, and vegetation overtaking the sweetness for the most part. It was an average pungency sample, neither stinking up the room nor going unnoticed.Two reviewers struggled a bit to get a good taste read on this sample, but the one who seemed to get the most picked up on a taste that was very much similar to the smell, namely a soil-dominant attack, followed by a sugary, floral, sweet quality that lingered on the tongue and in the throat. Though the taste was great, it was a bit elusive — still, the smoke was extremely smooth yet expansive.This was a fairly cerebral Indica, keeping us mentally aware the entire time despite being rather strong overall and flirting with overwhelming feelings at its peak. Concentration on only one subject was difficult at times, but our thought processes were clear and vivid throughout the experience. The initial onset came on heavy, with a warming sensation throughout the body and head/eyes and a buzzing headband-like feeling — we all thought our eyes would be red and low, but they were relatively open and clear… good ""stealth"" med. The Bogglegum seemed to have a mood stabilization effect with us, keeping the mindstate even-handed and calm. The body relaxation carried on well into the latter part of the duration, and overall this med held onto its potency better than most, lingering into hour #3.CaliforniaSeed"
Bordello,
Brain OG,"This phenotype of OG Kush is believed to originate in the early 1990s in Southern California. It is perhaps a bagseed of the original OG, also known as Hell's OG or Tahoe OG. Then again, that's just one story on OG out of many legendary fables. Also kown as Snoop's OG, this particlular phenotype is thought to originate in the mid 90's amongst the proliferation of West Coast hip hop. B-Real of Cypress Hill calls it Brain OG, probably after the song ""Insane in the Brain"", and Snoop calls it Snoop OG. Southern California most recentlyClone Only"
Bruce Banner #3,"A strong OG Kush influence but some added raciness and fruitiness from the Strawberry Diesel; and #5 is Strawberry Diesel-dominant, taking strongly after that strain in structure and flavor.OG Kush x Reservoir Strawberry Diesel (Strawberry Cough x Sour Diesel)Originally bred by ""OG Ironlung,"" the mystery OG Kush (now thought by those involved in its creation to be Ghost's OG Kush) was pollinated by a Reservoir Seeds Strawberry Diesel, and there were three main phenotypes that stuck around.  #3 was thought to be the pick of the litter.Bruce Banner #3 is the most potent overall of the three most popular Bruce Banner phenotypes. Banner #3 has a deeply spicy lemon-lime OG Kush aroma with a slight hint of sweetness that sneaks in at times.The flavor is much the same as the aroma, but adds a strong element of earthiness (like actual soil) and the sweetness takes a backseat.  The flavor is much the same, but adds a strong element of earthiness (like actual soil) and the sweetness takes a backseat.  Banner's effect seems to depend largely upon harvest time, with an early harvest making for a very cerebral and borderline rushy experience, and a later harvest giving a more relaxing effect.  Generally it starts strongly sativa, with lots of eye and face pressure, a floaty, buzzing body, and an increase in heart rate.The energy it gives is easily channeled into productivity, making the Banner a suitable daytime strain, though its potency is often too much for professional situations, especially for those who suffer from anxiety.  The second half takes on a more relaxed feel, with more of the clear-headed relaxation that OG Kush is known for.ColoradoClone Only"
Bruce Banner #5,"Bruce Banner #5 is a Strawberry Diesel-dominant phenotype, taking strongly after that strain in structure and flavor.Originally bred by ""OG Ironlung"", the mystery OG Kush (now thought by those involved in its creation to be Ghost's OG or Coal Creek Kush) was pollinated by a Reservoir Seeds Strawberry Diesel.The differently-structured and much more Strawberry Diesel-dominant phenotype of Bruce Banner, dubbed Bruce Banner #5.  The nugs turn out more spear-shaped than the #3, with slightly larger calyxes and the typical thin Diesel structure.  The aroma is very citrusy with a kiss of fuel and some background OG spice, but when ground, it's almost all citrus funk.A little lighter than the #3 overall, Banner #5 is a fairly typical Diesel in terms of effect, especially if taken prior to the development of lots of amber trichomes, when it can take on the ""crusher"" quality that Diesel gets with a long flowering time.  Uplifting and cerebral, it's great daytime medication for creative pursuits and light work, serving to ease the nerves and stimulate the mind (and appetite).ColoradoClone Only"
Bruce Brainer,"Part of the ""Banner Collection"" bred by Green Dream Health Services in Boulder, Colorado.  The goal of this cross was to bring back some of the more true OG funk taste and smell while maintaining the Bruce Banner potency and increased yield.  Having received the coveted Brain OG (aka Snoop's OG or Soul Assassin's OG) from a long-time friend of Snoop Dog in late 2012, the Green Dream founders knew immediately it was a top candidate for the Banner Collection project.The structure of the live plant is very OG dominant, stretching and producing relatively few flowering sites per foot of vertical growth.  While the growth is all OG, the flowers themselves are more conical and spear shaped like the Bruce Banner nugs. Large OG calyx/sepal structure remains, as the pictures clearly show.Lemon, pine dominant.  The Bruce Banner comes through in the dried flower, presenting an earthy mineral component similar to the city after a fresh rain on the pavement.Very lemon kush dominant, with undertones of earthy soil and minerals.Hybrid natured with an intense potency from the Bruce Banner #3, the Brainer, as it's often referred to, brings the standard OG body high and laid back head but also adds a good hour or more of a traditional sativa experience as far as energy and vibrance go.Any system works but this plant loves height and performs well even at the 6+ feet level.Green Dream Health Services - Boulder, ColoradoClone-Only cuts around.  Seed stock exists but is not for sale.62-69 days"
Bubba Banner,"Bruce Banner #3 (Strawberry Diesel x OG Kush) x Katsu (Pre-98) Bubba KushBubba Banner was created by Green Dream Health Services in Boulder, Colorado as a part of their ""Banner Collection"" series.  The Bruce Banner #3 was chosen for its potency and semi-large yield, and was crossed with their famous (though not exclusive) Katsu Bubba."
Bubba Diesel,"This is a very strong and impressive strain. The hybrid waves were quite pronounced but not uncomfortable or meddling. The high was still clear while the medicine worked well for body aches, muscle tension, and pain relief.Bred by Scott Reach of Rare DanknessMedium density and covered in beautiful trichomes. Coloration is shades of green and very fuzzy orange pistils.Sweet eucalyptus scent that was tantalizing. A truly wonderful smell regardless of its source.We got multiple reports of a sweet fertilizer taste, even a dark berry hint, but overall it was agreed that while the flavor was still very pleasant it was certainly the weakest mark of the group.A cerebral, enlightening feeling hits almost instantly while body heat, perspiration, and heart rate all noticeably increase. As the the medication sets in the mind and body begin to move in slow motion. The sativa and indica effects in this strain seemed at constant battle, trading dominance back and forth. Half way through a slight couch or chair session are in order as the indica emerges. Towards the end one regains mental sharpness and finds motivation. A nice surplus of energy emerges as you hit the road to sobriety.ColoradoClone"
Bubba Fett,"Pre '98 Bubba Kush female x Stardawg malePre '98 Bubba Kush x StardawgAn exclusive breeding project at Green Dream Cannabis in Boulder, Colorado, the Bubba Fett is the clever spaceage name given to a Bubba Kush female crossed with a Stardawg male. Though many phenotypes made it through testing, the #6 and #2 were selected by the breeders to continue for retail production.Green Dream Cannabis, Boulder ColoradoPhenotypes #6 and #2 were the cuts kept that displayed the most desirable traits of both parents. "
Bubba Kush,"Its specific leaf structure, stem thickness, density of flower sites and limited node spacing, and dark hues make Bubba Kush stand out in any garden. Specifically speaking, it's known for large bud structures with hues ranging from purple to green.Unknown: [Likely old world semi-arid mountain region]Katsu Bubba - orgnkid was the first to bring Bubba online that we ever saw. That was around 2000/2001 at cw. he was touting it, showing fat stacks of cash, his grows, etc. As far as we've been told, he sold a cut of Bubba to GCM and GCM sold it to Katsu. That is the Katsu cut, aka, orgnkid's green phenotype. Orgnkid first obtained this Bubba around 2000/2001 and got the OG slightly thereafter. Mint Bubba S1- ECK06's s1 phenotype from the first batch of Bubba Kush s1's orgnkid posted to the bay. Purple Bubba S1 - This is a cut orgnkid scored from a SFV club owner that was an s1 of the original Bubba cut the owner of the club sourced (whichever that is). The club owner was scared of the dudes he got it from and knew not to break their rules. But there was a way around it so he could make cuts and buds available to his club. So he makes some s1 seeds from the Bubba, pulls out the yielding, club nugget purple Bubba pheno. Now he has an ""unheld"" cut of the Bubba. THE REAL PRE-98/PRE2K1 - in 2004/5 or so we obtained the above purple and green bubbas from orgnkid through a mutual friend. We also got a cutting from our good friend in norcal (the true pre98). So, for the sake of everyone online that had different cuts back then, we put some info in a Bubba thread much like this one where we grew all three of them side by side and compared. We labeled the orgnkid/katsu the GREEN PHENO/2k1. We labeled the ClubS1 the PURPLE PHENO/2k1. And we labeled the Norcal one, pre2k1, because at that time, we hadn't asked our buddy ALL the info on the norcal cut.. And we were told orgnkid's were obtained in 2k1. So anyways, after a few more pages in that thread at CW, people started getting the pre98 moniker from the kalimist mixed up with the pre2k1 bubba designation. So after probing our friend, he told us he got it from a glassblower in socal around 1998. After posting that, the pre2k1 pretty much started getting called the pre98. The pre-98 is shabud's cut. Swerve's Pre-98 - We don't know where swerve obtained this cut, you would have to ask him. But he has told us that he termed his ""pre98"" because the cut he obtained, reminded him of the the Bubba he was smoking in 1998-2000 in SFV.Bubba Kush is a strain with a thousand stories behind it. While not as 'lore-intensive as an OG Kush, Bubba Kush tends to bring about heated conversations across the cannabis world.While we've had the opportunity to speak with ""Bubba/Matt"" who tells a tale that stems from connections in Florida and ties the Bubba to OG heritage (Triangle to OG bagseeds), we've come to understand that its true genetic orgins are unknown.Very thick flowers ranging from dark black and purple to green depending on the ""cut"" of this strain.  Remaining constant, Bubba produces Kush style cannabis flowers leaning from golf balls to swollen hearts in shape.The aroma of Bubba Kush is one of those unique scents you will never forget. It often borders on an acrid ammonia smell, but always emits deep, earthy notes. From hints of coffee to dirty feet, Bubba Kush hits the nose a bit differently for everyone.Depending on the pheno you may receive chocolate notes to ammonia notes, but regardless the smoke with be thick and heavy.  Flavors range on the earthy and bodily spectrum (yes, gross for food but lovely for cannabis) and well grown Bubba should provide flavor through water and the end of the bowl.Heavily narcotic effects, with the Katsu cut being a bit less sleep inducing although still a very heavy body high.Grows well in all mediums but veges very slowly.Hindu/Pakistani origins but west coast USAClone-only, though some have selfed and made seed lines.  The only worth having are clone-only cuts.8 Weeks on Average"
Bubba Kush S1,"With its long list of medicinal properties, its very good duration, and solid overall potency, this Bubba Kush S1 comes highly recommended for patients seeking a relaxing Indica experience that keeps you mentally clear and capable, even energetic at times. The grow quality was very high, with no visible flaws aside from the loose manicure, a great selection of colors, and plenty of well-timed trichomes. While we didn't like the super-sharp smell and taste quite as much as we do the more standard Bubba, it was certainly unique and served to mark this S1 variant as distinct from its parent. If you're a fan of Bubbas, be sure to give this one a try, both because it provides many of the qualities you know and love, but also because it adds something a little different to the equation.The Bubba Kush has been released in self-pollinated, feminized form by multiple seed breeders, including Cali Connection and Riot Seeds.blend of dark green, purple, and those distinctive brick red thin pistils, but it had a sort of primordial, prehistoric look blend of dark green, purple, and those distinctive brick red thin pistils, with big, dark water leaves giving a primordial, prehistoric look to the flower. Trichome coverage is above average, on long average width stems with extremely large heads.Though not exactly appealing in the sense that we want our houses to smell like it, this Bubba was certainly impressive and pungent. It gave off a very strong acrid smell that reminded us of other Bubbas at times, but that classic scent stayed more in the background… the main smells reminded us of a tire shop, fuel, glue, and musk, all very acrid once it was ground or broken up. Pre-grind it was more classic Bubba, with the dark almost coffee-like notes… those nearly disappeared once it was handled.The taste was rather complex, seemingly changing as it cycled through the mouth. Initially it had the sharp rubber + fuel taste from the smell, then once in the mouth it turned sweeter and had more of the traditional Kush notes (spice, citrus)… the finish was spicy, citrus-tinged Kush. The smoke was smooth on the attack but very expansive, so it may cause coughing on bigger hits. The final ash was a speckled very light gray, showing it had a very solid flush before being cut.Our overall experience with this Bubba was one of mental clarity and heavy relaxation. Kushes are known for their mentally-clear effects, and this one was no exception, as we felt completely capable and able to focus despite the Bubba trying to pull us into the couch. The initial effects were an immediate buzzing warmth throughout the body, with a strange relaxed energy and a heavy forehead/eye presence, which felt as if it were hanging over the brow and more weighty than normal. The early effects also came with a rush of thoughts and some visual alterations… in all, a potent start that had one reviewer forgetting about the rest of the bowl. After those early effects died down, a pervading sense of relaxation came over us… there was some couchlock, but overall it wasn't pushy or overwhelming. The comedown had us feeling a bit tired and ready for sleep.CaliforniaSeed56-63 Days"
Bubba OG,"Great relaxation and mood elevation properties made this a superb late-night relaxation strain — its Bubba qualities come out later in the duration and can make it a great segue into sleep when medicated a few hours before bedtime.Bubba Kush x OG KushOne of the more lastingly potent strains to appear early in the Colorado medical marijuana scene, with a torquey power that continued through almost 2 hours after a 15 minute ""creeper"" delay. Thin cylindrical nugs that screamed ""kush"" to the review staff.  Above average density sample that shimmered when the LED was cast its direction.  Its blend of greens and long slender orange pistils gave it a classic look…This one could almost be mistaken for a Diesel with its fairly acrid fuely twang, but it's still Kush-dominant for sure, exhibiting an array of soily, musky smells.  It wasn't pungent or even that noticeable until it was ground, which released all the aroma.This one could almost be mistaken for a Diesel with its fairly acrid fuely twang, but it's still Kush-dominant for sure, exhibiting an array of soily, musky smells.  It wasn't pungent or even that noticeable until it was ground, which released all the aroma.A near-perfect fusion of the two standard tastes of these strains, it was primarily a spicy, herby Kush taste but one reviewer picked up definite Bubba notes of that signature dark chocolate/coffee musky, bitter quality.  It possessed a long aftertaste as well, hanging in the throat for 5+ minutes after medicating.  The knock on this one was the flush, which appeared to be too short, as the ash was a murky medium gray with some dark chunks remaining.A near-perfect fusion of the two standard tastes of these strains, it was primarily a spicy, herby Kush taste but one reviewer picked up definite Bubba notes of that signature dark chocolate/coffee musky, bitter quality.  It possessed a long aftertaste as well, hanging in the throat for 5+ minutes after medicating. Drooping eyelids and strong, tingly body waves (one reviewer described it as a ""melting feeling"") to start as well as a very strong presence behind the eyes and in the forehead, which felt like outward and inward pressure alternately.  This strain seemed to change slightly based on situation — when required to get up and be active, it went along with it — but mostly, the urge was to sit and enjoy the medication while retaining an active and fairly clear mind.  Strong mood elevation properties with this one had us laughing at everything and enjoying the company of others… great after-work relaxation and late-night calm activity strain.  It dropped off finally after about 1:45, which is among the longest initial potency durations we've seen… it was very potent up until that point.Drooping eyelids and strong, tingly body waves (one reviewer described it as a ""melting feeling"") to start as well as a very strong presence behind the eyes and in the forehead, which felt like outward and inward pressure alternately.  This strain seemed to change slightly based on situation — when required to get up and be active, it went along with it — but mostly, the urge was to sit and enjoy the medication while retaining an active and fairly clear mind.  Strong mood elevation properties with this one had us laughing at everything and enjoying the company of others… great after-work relaxation and late-night calm activity strain.  It dropped off finally after about 1:45, which is among the longest initial potency durations we've seen… it was very potent up until that point."
Bubba Wreck,"Definitely in my top 10 favorites for day time medication, and is crossed with one of our favorite strains Bubba Kush. A very tantalizing smoke that emits plenty of delicious aromas, and the Train Wreck mixed in makes this an enjoyable medication. The grower deserves our respect for harvesting such an aromatic and interesting strain. It smokes beautifully, revealing countless different flavors, has beautiful shelf appeal and is a very good medicine.Very fluffy light green buds with plenty of long, straight orange hairs. The look has a Hawaiian structure, and it has plenty of glistening trichomes dripping off the nugs.Extremely complex aroma coming from this medicine. All types of sweet berries, orange, skunky, and menthol smells.Taste is like the smell. Absolutely exploding with so much scrumptious and indescribable flavors, but kush (sweet candy menthol) taste is distinctive on exhale.Has great expansion and the effect is very potent. The bud hits very smooth and delivers a fast, clear cerebral high. Very euphoric and psychadelic, but with the accompanying numb body common from indicas.Colorado"
Bubbleberry,"Bred by Sagarmatha SeedsA classic, sticky dark green indica with very fat, bubbly calyxes.Very sweet, can easily pick out the Bubblegum scent. Moderate pungency.Bubble gum dominant, sweet not berry. A bit harsh and induced coughing. Flavor was only found on ""green"" hits, not real strong. Strong body high, almost immediately. Provided a very heavy experience, eyes and head. Strong couchlock and space-out tendencies, which increased an hour in. This was not a ""clean"" experience, rather a heavy and somewhat muddled one.NetherlandsSeed65 Days"
Burning Desire,"WhiteFire X Grape Stomper OGGrape Ape is a steady indica while the OG will give a noticable amount of heart rate, exhilaration and motivation. "
Cali Connection Bubba Bx2,"A special seed release for the 2010 High Times Amsterdam Cannabis Cup (it was planned as their Indica entry, but there weren't enough dried buds around before the competition to enter officially), this pet project of lead breeder Swerve came about in an attempt to re-create the clone-only legend Bubba Kush in seed form.  An unknown male (possibly Swerve's SFV OG Kush F3 which he used for many breeding projects) was used in this double backcross, first pollinating on the mother to create seed, then another male from that population going back to the Bubba mother once more to reinforce her traits.  The resulting plant grows much like the Bubba mom, but some variation in structure (some phenos will have long, slender nugs which is unusual for Bubba) is to be expected.  However, the majority of nugs are the stereoptypical Bubba pine cone/golf ball shape with large calyxes and that signature purple-gray coloration coming on as harvest approaches.Pre-'98 Bubba Kush BX2Swerve planned this as his 2010 Indica entry for the Amsterdam Cup but was not able to get the nugs ready in time for the festival, so he simply did a special seed release instead.(samples pictured from Beyond Broadway and are sold there as ""D.I.A."" — this strain was also featured in February 2012's KUSH Magazine Strain of the Month.Deep coloration that looks almost gray from a distance is this strain's trademark, and the deep Bubba roots are seen clearly in all aspects of appearance other than the more slender, elongated nug shape which appears in certain phenotypes.  Trichome coverage is excellent, and it appears that this strain would make some high-yielding and quality extracts, judging from the copious amount of trichomes all over the leaf surfaces.A creamy, slightly sweet coffee-kissed aroma with a herby edge is the primary one while the strain sits undisturbed in a bag or jar.  However, when it's ground up, the coffee/chocolate comes out a lot more, as does the musky, herby, hashy backnote which recalls the strain's deeply Afghani/Pakistani origins.Losing some of the sweet qualities from the aroma, the flavor is mostly musky and hashy, with a lingering note of coffee.  Its smoke is moderately thick and moderately expansive, neither sending the patient into coughing fits nor hitting the throat without impact.Taking a few minutes to really kick in, the effects felt predominantly Indica in nature, providing a warming body sensation and pulsing waves which radiated throughout the lower extremities, arms, and torso.  A slowdown of mental activity accompanied by an overall feeling of ease and contentedness overtakes the user after about 15 minutes, leading to a placid, happy, experience that's very smooth in nature.  The eyes get slightly heavy at times (even early on), but the effect never really becomes a ""daywrecker"" to the point where it makes the user fall asleep when they wouldn't otherwise or makes the mind cloudy to the point of losing functionality.  Bubba BX2 helps with both mental and physical relaxation, specifically muscles, but it does so without clouding the mind.  It also aids with minor pain relief, appetite stimulation, and has definite anti-anxiety properties.  Medicinal-level effects last around 1.5 to 2 hours, while the overall effects linger out to nearly 3 hours.Production growers will find that this strain can produce reasonably well in hydro and coco setups.  However, the best flavor normally comes out in a soil grow using light fertilization regimes — the old-school feeding preferences of the original Bubba are intact here, and that means steady but relatively light feedings.  If a better yield is desired, the plants can be effectively SCROG'd, producing a collection of fairly large rock-hard pine cone tops instead of a slightly larger central cola.California, USACali Connection seed release8 to 9 weeks"
Candyland,"Bay Platinum Cookies x Grand Daddy Purple (GDP)This strain was created by Grand Daddy Purp’s Breeding and Development Team out of California. Candyland is a mix of Bay Platinum Cookies and Grand Daddy Purple – two renowned California strains. The mother, Bay Platinum Cookies, is a sativa dominant Cookies cross also created by Grand Daddy Purp genetics. The father is Ken’s proven Grand Daddy Purple male. Candyland can be cultivated both indoors and outdoors. This strain won a gold medal at the 2012 KushCon. The strain is most popular in California and Colorado.Candyland produces tight, dense buds – generally circular in shape but depends on phenotype. The color ranges from shades of green to nearly 100% purple. Buds are coated in beautiful orange hairs and trichomes. The plant itself can be stretchy and viney like many Cookies cuts or short and bushy like the Grand Daddy Purple father.Depending on the phenotype, the smell can range from sweet candy and grapes, to earthy, chemy and fuely – or somewhere in between. The Grand Daddy Purple father is famous for passing along its pronounced grape and berry aromas. The Bay Platinum Cookies mother is known to have that classic Girl Scout Cookies aroma with an added bit of sweetness from the Bay 11.Because this strain is available from both seed and clone, there are a variety of phenotypes floating around. Although specific flavor profiles will vary, Candyland generally has a sweet, musky, fuely smell. It is also known to have earthy undertones. Those growing from seed will have the option to choose their preferred flavor profile – some will lean more towards the Cookies and other will be closer to the Grand Daddy Purple.Candyland is known as a mood enhancer that is good for pain relief, managing muscle tension, and relaxation. The high can be more balanced like a hybrid or more sativa dominant depending on phenotype. Although it can be sativa dominant, it is not known to be racy. With THC levels reaching 19%+, the strain can be very potent. Candyland induces feelings of mental focus while providing relief throughout the body. This strain can be effective in treating depression, pain, anxiety, and ADD.California based genetics (Bay Area)Breeder: Grand Daddy Purp (Ken Estes)This strain is available in both seed and clone form.8-9+ weeks (56-63+ days)"
Captain Kush,"It never was overtly potent and despite lasting a long time, we sort of lost track of the effects at times because they were mild and unobtrusive. In many senses, this is a good thing (this was a pretty clear-headed med suitable for a day of work), but we think that this one is best saved for newer patients and those seeing moderate relief which last a long time but doesn't ever feel pushy.Slender spearhead-shaped wasabi green sepals, tightly opened pinecone calyxes, with frequent bursts of saddle brown pisitls, and above average coverage with average-length, thick-stalked hooked trichomes with average headsWhile the aroma wasn't particularly pungent, it did develop a bit when ground up, releasing a crisp, clean, sweet pine-citrus aroma that definitely brought to mind Snowcap and other similar strains (NL #5-Haze, Jack Herer, etc.).Softly sweet and piney, the flavor was fairly similar to the aroma on the first few hits, but declined from there and just because neutral and smokey. It never really tasted bad, but the flavor just disappeared rather quickly — we think that the dryness level may have had a lot to do with the way the flavor declined, as well as the way the smoke tickled the throat. The flush certainly wasn't to blame for any harshness, because the final ash was mostly white with some black flecks, showing a very quality flush prior to harvest. This one ultimately just fell short of its potential.A moderate pulsing throughout the body and limbs was the signal that effects had begun, coming on rather smoothly and creeping up in potency over the first 20-30 minutes. While we didn't really feel much of a change in mental energy or mood, but rather a gentle relaxation which had us able to concentrate on non-interactive activities, but fading out a bit when deep concentration and attention was required. Several members of the staff commented that this med was almost invisible at times throughout the experience — it's certainly not a ""punch in the face"" type of med, but rather a smooth Sativa that kept us between mood elevation and relaxation with no negative effects or abrupt comedown. Some staff were left wanting more peak potency, but the duration was very good, lingering out to over 3 hours for all of our staff.ColoradoClone"
Cat Piss,"Train Wreck S1There are two or three versions of Cat Piss. One story (SoCal Cat Piss) says it is a bagseed from the legendary TrainWreck,the famous old school Northern California powerhouse sativa. Others claim Cat Piss (NorCal) is closer related to an Afghan landrace with heavy indica effect. Yet another Cat Piss is a Super Silver Haze cross but it is less circulated and unpopular. CaliforniaClone Only"
Charles' Kush,"Absolutely beautiful in so many ways, Charles' Kush is definitely an incredible herb. The effects caused by this medication are exactly what many people search for in an indica dominant strain. The smoke is super smooth and really thick; like blowing out clouds of Kush. Great bud to leaf ratio, and our samples were extremely well manicured. (Hashplant x Northern Lights) x ([Hashplant x Northern Lights] x Kodiak Gold)Bred by Reeferman Seeds in the late 1980sThe flower is sparkling with milky white trichomes, packed full of dark red-hairs. Medium green colored packs, with hints of dark-purple. Some phenotypes are known to turn very purple or have stronger odors.Has the pungent smell of kush. The aroma is not as strong as some other strains I had, but still very captivating.Incredibly smooth smoke. Great taste of kush, with a piney after-taste.Hits real fast and feels like it slows time. Makes you feel a bit ""light-headed"", sativa type of headiness at first and slowly turns to its indica dominant side with great relaxation throughout the body.CanadaClone"
Charlotte's Cookies,"Believed to be a Girl Scout Cookies s1 x New Jack City It grows very similar to Girl Scout Cookies, with a slightly more sativa bud structure. The leaves are very jagged and they always have more fingers than the traditional Girl Scout Cookies. Between harvesting and curing, the smell transforms from berries and cream to a profound fake-cheese aroma. Siense, GAS Seeds"
Charlotte's Web,"There is a very interesting back story about the cut available outside of Realm of Caring. It is not technically the famous Charlotte's Web, also known as R4 when it was selected from the Stanley Brothers breeding project. It is actually R5, a sister seed from the same project with the exact same parents. Almost an identical twin, R5 has a very similar growth pattern and cannabinoid spectrum to R4. Hence, it is still called Charlotte's Web just as there are numerous Chem Dawgs, Skunks and other strains that are ordered numerically.Charlotte's Web was made famous by Charlotte Figi, a child who experienced a dramatic decrease in the frequency of her seizures after consuming cannabis oil extracted from this strain. Charlotte's Web grows like a pure Afghan, short and stout with non-fibrous stalks. Ironically, it as far from the traditional hemp sativa structure as you could achieve, but the flowers are still CBD rich.Flowers smell like purple candy Now-and- Laters.This strain has been demonstrated as a nerve protectant and has been used in the treatment of epilepsy in both children and adults. Stanley Brothers, Realm of Caring, Colorado"
Cheesel,"Chem 91 x UK CheeseCirca 2009/2010 Sonoma County [Chem 91 x UK Cheese Male(Amsterdam)] Infamous #12 phenoCheesel has a strong cheese fragrance by namesake with diesel fuel overtones. Cheesel tastes very rich and skunky with a heavy bodied smoke that lingers on the tongue after exhaling. Whereas the UK Cheese is noticable more on the aroma, the diesel flavor accents the Chem '91 lineage. Cheesel is an indica dominant hybrid that delivers a rounded effect of dissasociation from the body. Focus is made quite difficult while on this strain and is best used after work or daily responsibilities are through. Sonoma County, California8 weeks"
Chem #4 x Sour Diesel,"One of our veteran staff called this one of his favorites of this year effects-wise, ranking it in the upper echelon of potency and rating both the smell and flavor a 9+. Not all of the staff were quite as enthusiastic about the flavor and smell, but the effects were universally enjoyed for their energetic uplift that only had a tiny edge of anxiety to it early on — great balance of energy and comfort. This was a thoroughly enjoyable medicine, and we felt that it fits best for the daytime, especially a day off when you can really appreciate and indulge in its mind-expanding and mood-elevating effects. One reviewer commented that this was as much a recreational ""fun"" med as a medical one, while another got great relief from back problems and nausea, so it seems to show a versatile nature.Spearhead-shaped pesto green sepals arranged in clustered stacked calyxes, with bursts of dark burgundy pisitls, and supremely covered with above average-length, average-stalked trichomes with large headsPungency was the name of the game here, and this sample was easily-noticed, whether it was sealed in a bag or not. The dank rubber-fuel-skunk front notes has a background of spice and citrus, making for an almost overwhelming scent package before it's even ground up. The post-grind aroma brought to mind a bit more of the Sour Diesel, with a stronger kick of fresh citrus and an almost floral quality once it settled. This strain is one of those that is a matter of personal preference — most of our crew loved it, but it is a challenging scent like most Chem and Diesel strains.The pungent aroma translated directly to the flavor, which again was Chem-dominant, with a Sour Diesel-influenced citrusy finish. Deeply spicy with notes of rubber, skunk, and chemical cleaner on the inhale, the exhale left an almost anise-like flavor on the lips, and a fuely scent in the nostrils. Again, this whole family of strains are a bit of an acquired taste, but Chem and Diesel-lovers will certainly appreciate this example's flavor. White this strain's effects were felt immediately with the increase in face/eye/head pressure and temperature as well as heart rate, we all felt that it was at its peak between 30 minutes and 1 hour into the experience. The time of day seemed to affect the results of the reviews, as the reviewer who sampled the strain at night felt it shift gears around the 1 hour point to a meditative relaxation, while the daytime reviewers got a lasting boost in energy, mood, and physical activity. The surging energy was felt throughout the body and kept us up on our feet, at times pacing around smiling for no reason in particular. It wound down for most of the staff around the 2 - 2.5 hour mark , but left a lasting feeling of energy and focus, unlike some Sativas which give a drained, ""crash"" feeling as they fade out… a worthy ending to an overall very satisfying experience.ColoradoClone"
